所在區,納骨塔名稱,可使用櫃位,已使用櫃位,未使用櫃位
三民區,覆鼎金安樂堂,"12,775","12,753",22
三民區,覆鼎金鼎金塔,"3,210","2,759",451
旗津區,旗津生命紀念館,"16,025","14,721","1,304"
燕巢區,深水山慈恩堂,616,606,10
燕巢區,深水山慈暉堂,"3,904","3,903",1
鳳山區,鳳山拷潭納骨堂,"35,128","32,595","2,533"
大樹區,大樹第一納骨塔,"17,157","15,104","2,053"
仁武區,仁武懷仁堂,"1,550","1,549",1
仁武區,仁武懷德堂,"1,408","1,337",71
仁武區,仁武第一公墓納骨堂,"16,592","15,974",618
仁武區,仁武第八公墓納骨堂,"4,001","2,093","1,908"
大社區,大社納骨塔慈恩堂,"24,972","16,173","8,799"
鳥松區,鳥松納骨堂,"23,391","18,371","5,020"
岡山區,岡山大莊納骨塔,"21,741","15,388","6,353"
橋頭區,橋頭慈恩堂納骨塔,"11,412","10,392","1,020"
路竹區,路竹第一納骨塔,"2,925","1,207","1,718"
路竹區,路竹第二納骨塔,"6,138","4,204","1,934"
湖內區,湖內第一納骨塔,"6,436","5,426","1,010"
湖內區,湖內第二納骨塔,"4,195","3,550",645 
茄萣區,茄萣第二納骨堂,"12,408","10,147","2,261"
茄萣區,茄萣第三納骨堂,"3,402","1,583","1,819"
彌陀區,彌陀納骨堂,"11,477","10,322","1,155"
梓官區,梓官納骨堂,"18,512","15,694","2,818"
旗山區,旗山第一納骨堂,"7,848","7,375",473
美濃區,美濃納骨堂 ,"2,976","2,234",742
六龜區,六龜納骨堂,"4,548","2,882","1,666"
甲仙區,甲仙納骨塔,"7,950","3,497","4,453"
杉林區,杉林納骨堂,"3,556","2,906",650
內門區,內門第七公墓納骨堂,"4,753","3,869",884
